id,id_sprzetu,czas_pomiaru,temperatura,cisnienie,poziom_mm
4293186,34,12/8/25 17:28,119.600000,0.00,2800.00
4293165,34,12/8/25 17:27,119.600000,0.00,2800.00
4293144,34,12/8/25 17:27,119.600000,0.00,2800.00
4293123,34,12/8/25 17:27,119.600000,0.00,2800.00
4293102,34,12/8/25 17:27,119.600000,0.00,2800.00
4293081,34,12/8/25 17:27,119.600000,0.00,2800.00
4293060,34,12/8/25 17:27,119.600000,0.00,2800.00
4293039,34,12/8/25 17:27,119.600000,0.00,2800.00
4293018,34,12/8/25 17:27,119.600000,0.00,2800.00
4292997,34,12/8/25 17:27,119.600000,0.00,2800.00
4292976,34,12/8/25 17:27,119.600000,0.00,2800.00
4292955,34,12/8/25 17:27,119.600000,0.00,2800.00
4292934,34,12/8/25 17:27,119.600000,0.00,2800.00
4292913,34,12/8/25 17:26,119.600000,0.00,2800.00
4292892,34,12/8/25 17:26,119.600000,0.00,2800.00
4292871,34,12/8/25 17:26,119.600000,0.00,2800.00
4292850,34,12/8/25 17:26,119.600000,0.00,2800.00
4292829,34,12/8/25 17:26,119.600000,0.00,2800.00
4292808,34,12/8/25 17:26,119.600000,0.00,2800.00
4292787,34,12/8/25 17:26,119.600000,0.00,2800.00
4292766,34,12/8/25 17:26,119.600000,0.00,2800.00
4292745,34,12/8/25 17:26,119.600000,0.00,2800.00
4292724,34,12/8/25 17:26,119.600000,0.00,2800.00
4292703,34,12/8/25 17:26,119.600000,0.00,2800.00
4292682,34,12/8/25 17:26,119.600000,0.00,2800.00
4292661,34,12/8/25 17:25,119.600000,0.00,2800.00
4292640,34,12/8/25 17:25,119.600000,0.00,2800.00
4292619,34,12/8/25 17:25,119.600000,0.00,2800.00
4292598,34,12/8/25 17:25,119.600000,0.00,2800.00
4292577,34,12/8/25 17:25,119.600000,0.00,2800.00
4292556,34,12/8/25 17:25,119.600000,0.00,2800.00
4292535,34,12/8/25 17:25,119.600000,0.00,2800.00
4292514,34,12/8/25 17:25,119.600000,0.00,2670.00
4292493,34,12/8/25 17:25,119.600000,0.00,2670.00
4292472,34,12/8/25 17:25,119.600000,0.00,2670.00
4292451,34,12/8/25 17:25,119.600000,0.00,2670.00
4292430,34,12/8/25 17:25,119.600000,0.00,2670.00
4292409,34,12/8/25 17:24,119.600000,0.00,2670.00
4292388,34,12/8/25 17:24,119.600000,0.00,2670.00
4292367,34,12/8/25 17:24,119.600000,0.00,2670.00
4292346,34,12/8/25 17:24,119.600000,0.00,2670.00
4292325,34,12/8/25 17:24,119.600000,0.00,2670.00
4292304,34,12/8/25 17:24,119.600000,0.00,2670.00
4292283,34,12/8/25 17:24,119.600000,0.00,2670.00
4292262,34,12/8/25 17:24,119.600000,0.00,2680.00
4292241,34,12/8/25 17:24,119.600000,0.00,2680.00
4292220,34,12/8/25 17:24,119.600000,0.00,2680.00
4292199,34,12/8/25 17:24,119.600000,0.00,2680.00
4292178,34,12/8/25 17:24,119.600000,0.00,2680.00
4292157,34,12/8/25 17:23,119.600000,0.00,2680.00
4292136,34,12/8/25 17:23,119.600000,0.00,2680.00
4292115,34,12/8/25 17:23,119.600000,0.00,2680.00
4292094,34,12/8/25 17:23,119.600000,0.00,2680.00
4292073,34,12/8/25 17:23,119.600000,0.00,2680.00
4292052,34,12/8/25 17:23,119.600000,0.00,2680.00
4292031,34,12/8/25 17:23,119.600000,0.00,2680.00
4292010,34,12/8/25 17:23,119.600000,0.00,2680.00
4291989,34,12/8/25 17:23,119.600000,0.00,2800.00
4291968,34,12/8/25 17:23,119.600000,0.00,2800.00
4291947,34,12/8/25 17:23,119.600000,0.00,2800.00
4291926,34,12/8/25 17:23,119.600000,0.00,2800.00
4291905,34,12/8/25 17:22,119.600000,0.00,2800.00
4291884,34,12/8/25 17:22,119.600000,0.00,2800.00
4291863,34,12/8/25 17:22,119.600000,0.00,2800.00
4291842,34,12/8/25 17:22,119.600000,0.00,2800.00
4291821,34,12/8/25 17:22,119.600000,0.00,2800.00
4291800,34,12/8/25 17:22,119.600000,0.00,2800.00
4291779,34,12/8/25 17:22,119.600000,0.00,2800.00
4291758,34,12/8/25 17:22,119.600000,0.00,2800.00
4291737,34,12/8/25 17:22,119.600000,0.00,2800.00
4291716,34,12/8/25 17:22,119.600000,0.00,2800.00
4291695,34,12/8/25 17:22,119.600000,0.00,2800.00
4291674,34,12/8/25 17:21,119.600000,0.00,2800.00
4291653,34,12/8/25 17:21,119.600000,0.00,2800.00
4291632,34,12/8/25 17:21,119.600000,0.00,2800.00
4291611,34,12/8/25 17:21,119.600000,0.00,2800.00
4291590,34,12/8/25 17:21,119.600000,0.00,2800.00
4291569,34,12/8/25 17:21,119.600000,0.00,2800.00
4291548,34,12/8/25 17:21,119.600000,0.00,2800.00
4291527,34,12/8/25 17:21,119.600000,0.00,2800.00
4291506,34,12/8/25 17:21,119.600000,0.00,2800.00
4291485,34,12/8/25 17:21,119.600000,0.00,2800.00
4291464,34,12/8/25 17:21,119.600000,0.00,2780.00
4291443,34,12/8/25 17:21,119.600000,0.00,2780.00
4291422,34,12/8/25 17:21,119.600000,0.00,2780.00
4291401,34,12/8/25 17:20,119.600000,0.00,2780.00
4291380,34,12/8/25 17:20,119.600000,0.00,2780.00
4291359,34,12/8/25 17:20,119.600000,0.00,2780.00
4291338,34,12/8/25 17:20,119.600000,0.00,2780.00
4291317,34,12/8/25 17:20,119.600000,0.00,2780.00
4291296,34,12/8/25 17:20,119.600000,0.00,2780.00
4291275,34,12/8/25 17:20,119.600000,0.00,2780.00
4291254,34,12/8/25 17:20,119.600000,0.00,2780.00
4291233,34,12/8/25 17:20,119.600000,0.00,2780.00
4291212,34,12/8/25 17:20,119.600000,0.00,2740.00
4291191,34,12/8/25 17:20,119.600000,0.00,2740.00
4291170,34,12/8/25 17:19,119.600000,0.00,2740.00
4291149,34,12/8/25 17:19,119.600000,0.00,2740.00
4291128,34,12/8/25 17:19,119.600000,0.00,2740.00
4291107,34,12/8/25 17:19,119.600000,0.00,2740.00
4291086,34,12/8/25 17:19,119.600000,0.00,2740.00
4291065,34,12/8/25 17:19,119.600000,0.00,2740.00
4291044,34,12/8/25 17:19,119.600000,0.00,2740.00
4291023,34,12/8/25 17:19,119.600000,0.00,2740.00
4291002,34,12/8/25 17:19,119.600000,0.00,2740.00
4290981,34,12/8/25 17:19,119.600000,0.00,2740.00
4290960,34,12/8/25 17:19,119.600000,0.00,2740.00
4290939,34,12/8/25 17:19,119.600000,0.00,2690.00
4290918,34,12/8/25 17:18,119.600000,0.00,2690.00
4290897,34,12/8/25 17:18,119.600000,0.00,2690.00
4290876,34,12/8/25 17:18,119.600000,0.00,2690.00
4290855,34,12/8/25 17:18,119.600000,0.00,2690.00
4290834,34,12/8/25 17:18,119.600000,0.00,2690.00
4290813,34,12/8/25 17:18,119.600000,0.00,2690.00
4290792,34,12/8/25 17:18,119.600000,0.00,2690.00
4290771,34,12/8/25 17:18,119.600000,0.00,2690.00
4290750,34,12/8/25 17:18,119.600000,0.00,2690.00
4290729,34,12/8/25 17:18,119.600000,0.00,2690.00
4290708,34,12/8/25 17:18,119.600000,0.00,2690.00
4290687,34,12/8/25 17:18,119.600000,0.00,2690.00
4290666,34,12/8/25 17:17,119.600000,0.00,2670.00
4290645,34,12/8/25 17:17,119.600000,0.00,2670.00
4290624,34,12/8/25 17:17,119.600000,0.00,2670.00
4290603,34,12/8/25 17:17,119.600000,0.00,2670.00
4290582,34,12/8/25 17:17,119.600000,0.00,2670.00
4290561,34,12/8/25 17:17,119.600000,0.00,2670.00
4290540,34,12/8/25 17:17,119.600000,0.00,2670.00
4290519,34,12/8/25 17:17,119.600000,0.00,2670.00
4290498,34,12/8/25 17:17,119.600000,0.00,2670.00
4290477,34,12/8/25 17:17,119.600000,0.00,2670.00
4290456,34,12/8/25 17:17,119.600000,0.00,2670.00
4290435,34,12/8/25 17:17,119.600000,0.00,2670.00
4290414,34,12/8/25 17:16,119.600000,0.00,2640.00
4290393,34,12/8/25 17:16,119.600000,0.00,2640.00
4290372,34,12/8/25 17:16,119.600000,0.00,2640.00
4290351,34,12/8/25 17:16,119.600000,0.00,2640.00
4290330,34,12/8/25 17:16,119.600000,0.00,2640.00
4290309,34,12/8/25 17:16,119.600000,0.00,2640.00
4290288,34,12/8/25 17:16,119.600000,0.00,2640.00
4290267,34,12/8/25 17:16,119.600000,0.00,2640.00
4290246,34,12/8/25 17:16,119.600000,0.00,2640.00
4290225,34,12/8/25 17:16,119.600000,0.00,2640.00
4290204,34,12/8/25 17:16,119.600000,0.00,2640.00
4290183,34,12/8/25 17:16,119.600000,0.00,2640.00
4290162,34,12/8/25 17:15,119.600000,0.00,2640.00
4290141,34,12/8/25 17:15,119.600000,0.00,2610.00
4290120,34,12/8/25 17:15,119.600000,0.00,2610.00
4290099,34,12/8/25 17:15,119.600000,0.00,2610.00
4290078,34,12/8/25 17:15,119.600000,0.00,2610.00
4290057,34,12/8/25 17:15,119.600000,0.00,2610.00
4290036,34,12/8/25 17:15,119.600000,0.00,2610.00
4290015,34,12/8/25 17:15,119.600000,0.00,2610.00
4289994,34,12/8/25 17:15,119.600000,0.00,2610.00
4289973,34,12/8/25 17:15,119.600000,0.00,2610.00
4289952,34,12/8/25 17:15,119.600000,0.00,2610.00
4289931,34,12/8/25 17:15,119.600000,0.00,2610.00
4289910,34,12/8/25 17:14,119.600000,0.00,2610.00
4289889,34,12/8/25 17:14,119.600000,0.00,2580.00
4289868,34,12/8/25 17:14,119.600000,0.00,2580.00
4289847,34,12/8/25 17:14,119.600000,0.00,2580.00
4289826,34,12/8/25 17:14,119.600000,0.00,2580.00
4289805,34,12/8/25 17:14,119.600000,0.00,2580.00
4289784,34,12/8/25 17:14,119.600000,0.00,2580.00
4289763,34,12/8/25 17:14,119.600000,0.00,2580.00
4289742,34,12/8/25 17:14,119.600000,0.00,2580.00
4289721,34,12/8/25 17:14,119.600000,0.00,2580.00
4289700,34,12/8/25 17:14,119.600000,0.00,2580.00
4289679,34,12/8/25 17:14,119.600000,0.00,2580.00
4289658,34,12/8/25 17:13,119.600000,0.00,2580.00
4289637,34,12/8/25 17:13,119.600000,0.00,2580.00
4289616,34,12/8/25 17:13,119.600000,0.00,2560.00
4289595,34,12/8/25 17:13,119.600000,0.00,2560.00
4289574,34,12/8/25 17:13,119.600000,0.00,2560.00
4289553,34,12/8/25 17:13,119.600000,0.00,2560.00
4289532,34,12/8/25 17:13,119.600000,0.00,2560.00
4289511,34,12/8/25 17:13,119.600000,0.00,2560.00
4289490,34,12/8/25 17:13,119.600000,0.00,2560.00
4289469,34,12/8/25 17:13,119.600000,0.00,2560.00
4289448,34,12/8/25 17:13,119.600000,0.00,2560.00
4289427,34,12/8/25 17:13,119.600000,0.00,2560.00
