Tony,CM
1,260
2,256
3,252
4,248
5,244
6,240
7,236
8,232
9,228
10,224
11,220
12,216
13,212
14,208
15,204
16,200
17,196
18,192
19,188
20,184
21,180
22,176
23,172
24,168
25,164
26,160
27,156
28,152
29,148
30,144
31,140
32,136
33,132
34,128
35,124
36,120
37,116
38,112
39,108
40,104
41,100
42,96
43,92
44,88
45,84
46,80
47,76
48,72
