id,nazwa_zaworu,stan
1,V_R3_OUT_W_R2_R3,ZAMKNIETY
2,V_W_R2_R3_W_R1_R2,ZAMKNIETY
3,V_W_R1_R2_W_R1_FZ,ZAMKNIETY
4,V_R5_OUT_W_R4_R5,ZAMKNIETY
5,V_W_R4_R5_W_R4_FZ,ZAMKNIETY
6,V_W_R1_FZ_W_FZ_IN,ZAMKNIETY
7,V_W_R4_FZ_W_FZ_IN,ZAMKNIETY
8,V_W_FZ_IN_FZ_IN,ZAMKNIETY
9,V_FZ_OUT_W_FZ_OUT,ZAMKNIETY
10,V_W_FZ_OUT_R1_IN,ZAMKNIETY
11,V_W_FZ_OUT_R2_IN,ZAMKNIETY
12,V_W_FZ_OUT_R3_IN,ZAMKNIETY
13,V_W_FZ_OUT_R4_IN,ZAMKNIETY
14,V_W_FZ_OUT_R5_IN,ZAMKNIETY
15,V_FZ_IN_FZ_OUT,ZAMKNIETY

R1 -> R2

V_R1_OUT_W_R1_R2,V_W_R1_R2_W_R1_FZ,V_W_R1_FZ_W_FZ_IN,V_W_FZ_IN_FZ_IN,V_FZ_IN_FZ_OUT,V_FZ_OUT_W_FZ_OUT,V_W_FZ_OUT_R2_IN

R1 -> R3

V_R1_OUT_W_R1_R2,V_W_R1_R2_W_R1_FZ,V_W_R1_FZ_W_FZ_IN,V_W_FZ_IN_FZ_IN,V_FZ_IN_FZ_OUT,V_FZ_OUT_W_FZ_OUT,V_W_FZ_OUT_R3_IN

R1 -> R4

V_R1_OUT_W_R1_R2,V_W_R1_R2_W_R1_FZ,V_W_R1_FZ_W_FZ_IN,V_W_FZ_IN_FZ_IN,V_FZ_IN_FZ_OUT,V_FZ_OUT_W_FZ_OUT,V_W_FZ_OUT_R4_IN

R1 -> R5

V_R1_OUT_W_R1_R2,V_W_R1_R2_W_R1_FZ,V_W_R1_FZ_W_FZ_IN,V_W_FZ_IN_FZ_IN,V_FZ_IN_FZ_OUT,V_FZ_OUT_W_FZ_OUT,V_W_FZ_OUT_R5_IN

R2 -> R1

V_R2_OUT_W_R2_R1,V_W_R2_R1_W_R2_FZ,V_W_R2_FZ_W_FZ_IN,V_W_FZ_IN_FZ_IN,V_FZ_IN_FZ_OUT,V_FZ_OUT_W_FZ_OUT,V_W_FZ_OUT_R1_IN

R2 -> R3

V_R2_OUT_W_R2_R3,V_W_R2_R3_W_R1_R2,V_W_R1_R2_W_R1_FZ,V_W_R1_FZ_W_FZ_IN,V_W_FZ_IN_FZ_IN,V_FZ_IN_FZ_OUT,V_FZ_OUT_W_FZ_OUT,V_W_FZ_OUT_R3_IN

R2 -> R4    

V_R2_OUT_W_R2_R3,V_W_R2_R3_W_R1_R2,V_W_R1_R2_W_R1_FZ,V_W_R1_FZ_W_FZ_IN,V_W_FZ_IN_FZ_IN,V_FZ_IN_FZ_OUT,V_FZ_OUT_W_FZ_OUT,V_W_FZ_OUT_R4_IN

R2 -> R5

V_R2_OUT_W_R2_R3,V_W_R2_R3_W_R1_R2,V_W_R1_R2_W_R1_FZ,V_W_R1_FZ_W_FZ_IN,V_W_FZ_IN_FZ_IN,V_FZ_IN_FZ_OUT,V_FZ_OUT_W_FZ_OUT,V_W_FZ_OUT_R5_IN
